2020-03-18 18:44:19,003 [7]INFO  Udun.Api.Controller.CallbackController - <log4net.Error>Exception during StringFormat: 输入字符串的格式不正确。 <format>timestamp:{0},nonce:{1},sign:{},body:{2}</format><args>{1584527697364, 97767234, 015faae700d79e2c9d1ae99ea52a8349, {"txId":"012010213","tradeId":"123123","address":"1212sasa","mainCoinType":"0","coinType":"0","amount":"50000","tradeType":0,"status":1,"fee":"3000","decimals":8,"businessId":"ceshi","memo":"hhe"}}</args></log4net.Error>
2020-03-18 19:45:11,564 [8]INFO  Udun.Api.Controller.CallbackController - <log4net.Error>Exception during StringFormat: 输入字符串的格式不正确。 <format>timestamp:{0},nonce:{1},sign:{},body:{2}</format><args>{1584531904495, 97767234, 10aca057cf5b06f1ca87726b373802e0, {"txId":"0xa34dq22sddadwqr243qrd32543hucdaeh83","tradeId":"t1232132131","address":"地址A","mainCoinType":"0","coinType":"0","amount":"1000000","tradeType":1,"status":1,"fee":"5640","decimals":8,"businessId":"b1021123","memo":"测试memo"}}</args></log4net.Error>
2020-03-18 19:45:11,752 [8]INFO  Udun.Api.Controller.CallbackController - trade:Udun.Core.Entity.Trade
2020-03-18 19:45:14,824 [8]INFO  Udun.Api.Controller.CallbackController - =====收到充币通知======
2020-03-18 19:45:14,824 [8]INFO  Udun.Api.Controller.CallbackController - address:地址A,amount:1000000,mainCoinType:0,fee:5640
2020-03-18 19:45:29,206 [8]INFO  Udun.Api.Controller.CallbackController - amount=0.01000000,fee=0.00005640
2020-03-18 19:48:30,150 [6]INFO  Udun.Api.Controller.CallbackController - <log4net.Error>Exception during StringFormat: 输入字符串的格式不正确。 <format>timestamp:{0},nonce:{1},sign:{},body:{2}</format><args>{1584532107215, 97767234, 40027cc3ed7bd9c07a15d8f9b0f8d1fb, {"txId":"0xa34dq22sddadwqr243qrd32543hucdaeh83","tradeId":"t1232132131","address":"地址A","mainCoinType":"0","coinType":"0","amount":"1000000","tradeType":2,"status":1,"fee":"5640","decimals":8,"businessId":"b1021123","memo":"测试memo"}}</args></log4net.Error>
2020-03-18 19:48:30,338 [6]INFO  Udun.Api.Controller.CallbackController - trade:Udun.Core.Entity.Trade
2020-03-18 19:48:31,633 [6]INFO  Udun.Api.Controller.CallbackController - =====收到提币处理通知=====
2020-03-18 19:48:32,447 [6]INFO  Udun.Api.Controller.CallbackController - address:地址A,amount:1000000,mainCoinType:0,businessId:b1021123
2020-03-18 19:48:32,447 [6]INFO  Udun.Api.Controller.CallbackController - 审核通过，转账中
